Data Column	Flag Name	Start Time	End Time	Time Steps
Spd40mNStd	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd40mSStd	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd80mNMax	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd80mSMax	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd60mNMax	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd60mSMax	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd40mNMax	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd40mSMax	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Dir78mS	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Dir78mSStd	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Dir58mS	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Dir58mSStd	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Dir38mS	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Dir38mSStd	Icing	08/11/2016 02:30	08/11/2016 10:50	50
Spd80mN	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd80mS	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd60mN	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd60mS	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd40mN	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd40mS	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd80mNStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd80mSStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd60mNStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd60mSStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd40mNStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd40mSStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd80mNMax	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd80mSMax	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd60mNMax	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd60mSMax	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd40mNMax	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd40mSMax	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Dir78mS	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Dir78mSStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Dir58mS	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Dir58mSStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Dir38mS	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Dir38mSStd	Icing	18/11/2016 15:50	19/11/2016 10:30	112
Spd80mN	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd80mS	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd60mN	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd60mS	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd40mN	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd40mS	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd80mNStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd80mSStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd60mNStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd60mSStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd40mNStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd40mSStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd80mNMax	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd80mSMax	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd60mNMax	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd60mSMax	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd40mNMax	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Spd40mSMax	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Dir78mS	Icing	20/11/2016 16:40	21/11/2016 12:40	120
Dir78mSStd	Icing	20/11/2016 16:40	21/11/2016 12:40	120
