Data Column	Flag Name	Start Time	End Time	Time Steps
Spd40mNStd	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd40mSStd	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd80mNMax	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd80mSMax	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd60mNMax	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd60mSMax	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd40mNMax	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd40mSMax	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Dir78mS	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Dir78mSStd	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Dir58mS	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Dir58mSStd	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Dir38mS	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Dir38mSStd	Icing	2016-11-08 02:30	2016-11-08 10:50	50
Spd80mN	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd80mS	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd60mN	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd60mS	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd40mN	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd40mS	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd80mNStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd80mSStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd60mNStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd60mSStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd40mNStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd40mSStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd80mNMax	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd80mSMax	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd60mNMax	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd60mSMax	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd40mNMax	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd40mSMax	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Dir78mS	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Dir78mSStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Dir58mS	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Dir58mSStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Dir38mS	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Dir38mSStd	Icing	2016-11-18 15:50	2016-11-19 10:30	112
Spd80mN	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd80mS	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd60mN	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd60mS	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd40mN	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd40mS	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd80mNStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd80mSStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd60mNStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd60mSStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd40mNStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd40mSStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd80mNMax	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd80mSMax	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd60mNMax	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd60mSMax	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd40mNMax	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd40mSMax	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Dir78mS	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Dir78mSStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Dir58mS	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Dir58mSStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Dir38mS	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Dir38mSStd	Icing	2016-11-20 16:40	2016-11-21 12:40	120
Spd80mN	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd80mS	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd60mN	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd60mS	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd40mN	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd40mS	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd80mNStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd80mSStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd60mNStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd60mSStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd40mNStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd40mSStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd80mNMax	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd80mSMax	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd60mNMax	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd60mSMax	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd40mNMax	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd40mSMax	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Dir78mS	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Dir78mSStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Dir58mS	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Dir58mSStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Dir38mS	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Dir38mSStd	Icing	2017-01-21 00:00	2017-01-21 07:10	43
Spd80mN	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd80mS	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd60mN	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd60mS	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd40mN	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd40mS	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd80mNStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd80mSStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd60mNStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd60mSStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd40mNStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd40mSStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd80mNMax	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd80mSMax	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd60mNMax	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd60mSMax	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd40mNMax	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd40mSMax	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Dir78mS	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Dir78mSStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Dir58mS	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Dir58mSStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Dir38mS	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Dir38mSStd	Icing	2017-01-28 14:10	2017-01-28 17:30	20
Spd80mN	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd80mS	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd60mN	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd60mS	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd40mN	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd40mS	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd80mNStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd80mSStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
Spd60mNStd	Icing	2017-10-30 01:40	2017-10-30 07:00	32
